Glon,Glat,ra,dec,HIP,vmag,VarFlag,BTmag,VTmag,B-V
163.1199,53.3748,155.619627,50.493995,50815,8.61,,9.368,8.67,0.644
51.4315,-50.2744,334.902987,-9.800903,110223,8.61,,10.007,8.718,1.0959999999999999
242.3141,-53.5209,54.502894999999995,-38.774095,16940,8.61,,8.952,8.642999999999999,0.295
298.2169,-75.8156,14.394704999999998,-41.256581,4493,8.61,,9.325,8.707,0.5720000000000001
158.3908,-44.883,37.619917,11.062113,11665,8.6,,9.833,8.707,0.9690000000000001
120.7416,47.0849,197.216667,69.969132,64152,8.6,,9.141,8.668,0.446
303.9478,29.1798,193.925278,-33.683501,63102,8.6,,9.839,8.706,0.975
71.3003,-42.5751,337.397189,5.641544000000001,111030,8.6,,10.015,8.717,1.083
117.0802,75.0496,194.886589,41.986765999999996,63406,8.6,,9.833,8.719,0.94
124.74,26.3835,78.502964,88.222042,24396,8.6,,9.022,8.615,0.35100000000000003
290.5326,35.3852,181.589032,-26.398722999999997,59047,8.6,,9.777999999999999,8.701,0.932
222.0672,-53.5314,53.960749,-26.787381,16773,8.6,,9.066,8.647,0.433
291.1636,50.7025,185.28527,-11.475752,60236,8.6,,8.927999999999999,8.606,0.29
247.2725,73.054,178.29531599999999,16.848999,57952,8.6,,9.078,8.647,0.40700000000000003
255.509,67.0874,175.896352,10.694543,57183,8.59,,9.087,8.69,0.38299999999999995
125.4379,3.3793,19.051946,66.130481,5929,8.59,,9.052,8.651,0.379
143.4394,-47.6518,26.874646999999996,12.975353,8335,8.59,,10.812000000000001,8.764,1.696
193.3449,76.6812,178.21916000000002,30.827338,57929,8.59,,9.061,8.506,0.51
14.3467,-81.3192,3.3916809999999997,-29.575694,1088,8.58,,8.796,8.571,0.17800000000000002
307.3195,-20.0376,223.32453399999997,-81.850627,72837,8.58,,10.154,8.707,1.22
10.2309,21.1375,253.448025,-8.970562,82656,8.58,,10.101,8.755,1.141
249.2193,30.5769,147.489709,-12.798875,48225,8.58,,9.137,8.655,0.486
196.6461,33.3946,128.408619,27.344959000000003,41999,8.58,,9.704,8.641,0.88
214.0592,-47.8029,58.64836700000001,-20.461095999999998,18281,8.58,,9.101,8.607999999999999,0.466
