HIP,gLon,gLat,ra,dec,vmag
36046,190.8462,19.2691,111.43165,27.79808,3.78
48319,154.3097,45.5729,147.747324,59.038736,3.78
102618,37.6807,-30.1048,311.918964,-9.495776,3.78
71795,10.8037,61.1153,220.28729900000002,13.7283,3.78
34481,281.5557,-24.0422,107.18694099999999,-70.498932,3.78
14668,147.1226,-11.432,47.374047999999995,44.857544,3.79
53229,190.0089,63.7335,163.327938,34.214871,3.79
99675,82.6757,6.7768,303.407943,46.741329,3.8
14879,224.7331,-59.0314,48.018865999999996,-28.987617999999998,3.8
94779,84.4014,17.8533,289.27570299999996,53.368458999999994,3.8
76276,17.5925,48.1883,233.70061299999998,10.538867,3.8
37229,241.9662,-2.437,114.707792,-26.803835999999997,3.8
116584,109.9029,-14.5352,354.39101,46.458152,3.81
76952,41.7411,51.9235,235.685688,26.295637,3.81
21393,231.0126,-41.3059,68.887661,-30.562340999999996,3.81
51232,285.219,-0.8951,156.969709,-58.739403,3.81
45688,186.8098,44.4712,139.711015,36.802597,3.82
86414,72.3219,31.265,264.866193,46.006332,3.82
9487,155.3509,-55.5996,30.51175,2.763759,3.82
80883,17.123,31.8449,247.728429,1.9839229999999999,3.82
56211,132.9815,46.2042,172.850919,69.331076,3.82
68245,315.9763,19.0719,209.567775,-42.100753000000005,3.83
51069,259.987,33.6509,156.522611,-16.836289999999998,3.83
72370,308.4927,-17.4514,221.96545299999997,-79.044751,3.83
43783,277.6482,-9.9834,133.761784,-60.644608999999996,3.84
17440,279.2367,-43.537,56.04990600000001,-64.806903,3.84
97433,102.4311,20.8293,297.043134,70.26793,3.84
89341,10.0033,-1.6005,273.440874,-21.058834,3.84
17448,160.3636,-17.7398,56.079717,32.288247999999996,3.84
51986,281.0635,8.8685,159.32558999999998,-48.22562,3.84
88794,55.1862,21.5878,271.885628,28.762489000000002,3.84
51624,234.887,52.7674,158.202799,9.306586,3.84
61199,301.459,-9.3155,188.116728,-72.132988,3.84
91117,23.7519,-0.1749,278.80177799999996,-8.244073,3.85
61281,125.2151,47.2604,188.370601,69.788238,3.85
27321,258.3641,-30.6118,86.821199,-51.066514,3.85
30277,241.0265,-20.244,95.528451,-33.4364,3.85
19747,246.8788,-46.4143,63.500476,-42.294368,3.85
90139,49.7672,15.6001,275.92454,21.769752,3.85
78072,27.7331,45.6979,239.11326200000002,15.661617000000001,3.85
50191,274.3251,11.8824,153.68398,-42.121942,3.85
87808,63.2558,26.4199,269.063252,37.250539,3.86
110395,62.1793,-45.8419,335.414064,-1.387332,3.86
79664,323.3597,-9.2329,243.859462,-63.68568199999999,3.86
25859,239.8896,-30.8754,82.803149,-35.470519,3.86
81065,312.6882,-20.5109,248.36284799999999,-78.897148,3.86
4436,124.0731,-24.3607,14.188381,38.499345,3.86
21594,211.3194,-35.8956,69.5451,-14.304020000000001,3.86
78104,344.629,18.2708,239.221152,-29.214073,3.87
68282,315.2862,16.4492,209.66978500000002,-44.803584,3.87
71957,346.5514,47.5375,220.76509700000003,-5.658207,3.87
97804,40.9343,-13.0726,298.118199,1.0056610000000001,3.87
43023,265.3801,-1.8375,131.506852,-46.041527,3.87
74376,325.4565,7.8922,227.983649,-48.737819,3.88
8832,142.5477,-41.2006,28.382559999999998,19.293851999999998,3.88
48455,204.0451,50.2463,148.19090500000001,26.006951,3.88
114421,344.2659,-62.9302,347.58974,-45.246711,3.88
765,324.3387,-69.5948,2.352675,-45.747426000000004,3.88
45336,228.7713,32.5295,138.591079,2.31428,3.89
60129,286.3991,61.1888,184.97648700000002,-0.6668029999999999,3.89
98110,71.0155,3.3646,299.07655,35.083424,3.89
33152,234.9834,-10.2101,103.533136,-24.184210999999998,3.89
13701,187.155,-55.3111,44.106874,-8.898144,3.89
65936,311.2201,22.8262,202.761069,-39.407307,3.9
55425,289.9556,6.0864,170.25169499999998,-54.491018999999994,3.9
47431,236.4893,35.9806,144.964008,-1.14281,3.9
73807,325.3256,9.9252,226.279524,-47.051245,3.91
18907,184.6796,-33.0586,60.789083999999995,5.989305,3.91
79992,72.4854,45.0366,244.93515299999999,46.313365999999995,3.91
76333,351.515,32.1958,233.88157900000002,-14.789537,3.91
41307,227.7791,18.892,126.415135,-3.906424,3.91
60823,299.1035,12.4671,187.009925,-50.230635,3.91
104987,56.3751,-28.7132,318.955965,5.247845,3.92
95168,20.0576,-14.5478,290.418162,-17.847197,3.92
83207,52.8535,36.1754,255.072391,30.926405,3.92
7083,286.2655,-66.7469,22.812935999999997,-49.072702,3.93
2072,318.4163,-72.6816,6.550841,-43.679829999999995,3.93
54463,290.0074,1.2915,167.147458,-58.975037,3.93
13531,141.0238,-5.7406,43.564419,52.762479000000006,3.93
88192,29.7252,12.6325,270.161316,2.931568,3.93
37504,284.571,-22.1551,115.45525500000001,-72.606098,3.93
21444,199.3117,-31.3761,69.079757,-3.3524589999999996,3.93
5348,297.8333,-61.7143,17.096173999999998,-55.24576,3.94
103413,82.909,-2.8228,314.293409,41.167136,3.94
37677,244.3819,-2.5418,115.951954,-28.954826,3.94
37447,227.1863,6.5222,115.311802,-9.551131,3.94
